iter	RMSE
0	77425.96898
1	73961.13231
2	71033.89717
3	68235.22006
4	66130.11605
5	63513.37725
6	61011.07069
7	58708.33264
8	56638.89989
9	54702.93207
10	52735.38067
11	51070.06117
12	49438.52903
13	47975.99848
14	46728.42341
15	45359.53137
16	44099.56769
17	42837.58635
18	41735.42913
19	40762.10542
20	39874.59532
21	38798.83739
22	38012.14539
23	37100.47197
24	36348.04373
25	35593.81528
26	34816.59552
27	34162.24993
28	33520.34905
29	33014.37539
30	32505.97511
31	31965.38193
32	31522.1735
33	31078.95396
34	30661.27641
35	30178.63713
36	29792.72624
37	29417.37122
38	28909.48036
39	28542.90422
40	28229.21626
41	27834.89255
42	27579.6284
43	27335.36116
44	27090.72505
45	26873.39432
46	26533.48057
47	26308.47335
48	26054.49075
49	25854.22907
50	25658.27078
51	25440.82105
52	25249.21984
53	24995.97904
54	24827.47626
55	24589.89607
56	24442.42577
57	24306.49728
58	24179.25535
59	24017.19029
60	23909.00041
61	23801.13504
62	23670.0368
63	23499.19622
64	23403.78911
65	23282.43118
66	23149.27033
67	23046.19567
68	22980.49215
69	22849.53141
70	22765.23544
71	22675.22084
72	22573.91156
73	22478.19981
74	22388.77972
75	22257.08459
76	22190.95544
77	22115.57278
78	22063.58711
79	21960.63039
80	21891.89678
81	21763.68168
82	21670.55021
83	21619.90134
84	21504.3309
85	21359.08601
86	21176.67149
87	21051.8687
88	20940.33687
89	20832.33065
90	20741.58254
91	20702.40479
92	20586.57818
93	20502.71034
94	20414.59577
95	20337.24767
96	20284.28212
97	20199.27372
98	20170.10959
99	20136.88477
100	20072.35829
101	20011.1558
102	19980.38042
103	19923.01315
104	19874.56304
105	19775.55624
106	19734.51186
107	19671.63129
108	19639.95785
109	19498.50154
110	19435.1787
111	19379.20115
112	19340.95812
113	19280.90679
114	19212.36757
115	19148.64891
116	19129.573
117	18993.49086
118	18953.60479
119	18923.73823
120	18888.68514
121	18844.15985
122	18741.57458
123	18640.83612
124	18580.37699
125	18526.59368
126	18464.5334
127	18413.02196
128	18339.59616
129	18298.18143
130	18225.69345
131	18180.30214
132	18151.11363
133	18125.03549
134	18075.7765
135	18027.48035
136	17992.38985
137	17975.33128
138	17911.39354
139	17883.51785
140	17870.65472
141	17843.48537
142	17827.09074
143	17779.91528
144	17766.33051
145	17750.66198
146	17738.85457
147	17731.83142
148	17661.43614
149	17646.80964
150	17635.29344
151	17591.14112
152	17548.62369
153	17514.88602
154	17473.03968
155	17444.92604
156	17406.85299
157	17348.28057
158	17313.19299
159	17302.92305
160	17246.72975
161	17197.4811
162	17180.07955
163	17111.17202
164	17070.6683
165	17041.25125
166	17032.54577
167	16990.80028
168	16974.22436
169	16960.40668
170	16942.26737
171	16902.43342
172	16887.24818
173	16866.96879
174	16859.05023
175	16823.06377
176	16794.77567
177	16769.31402
178	16719.46244
179	16666.83209
180	16651.12722
181	16605.98342
182	16520.75684
183	16491.78575
184	16477.84235
185	16466.31306
186	16435.21113
187	16373.95708
188	16328.71847
189	16301.75807
190	16268.69508
191	16209.87895
192	16164.34682
193	16139.78073
194	16123.69746
195	16097.0267
196	16068.69158
197	16009.46845
198	16001.95773
199	15964.71424
200	15938.97441
201	15904.17458
202	15881.96164
203	15861.07656
204	15830.8172
205	15824.76475
206	15807.28217
207	15801.46763
208	15775.57046
209	15763.82471
210	15741.72808
211	15718.98422
212	15697.12782
213	15675.66118
214	15652.15138
215	15606.44524
216	15586.75609
217	15576.51136
218	15572.89544
219	15499.99705
220	15470.72428
221	15438.59429
222	15403.56322
223	15385.99862
224	15374.66349
225	15336.57244
226	15306.10759
227	15298.44618
228	15254.90253
229	15235.59449
230	15223.47953
231	15182.8722
232	15163.67465
233	15139.342
234	15091.03642
235	15034.27884
236	15004.07988
237	14970.26078
238	14957.50299
239	14945.77664
240	14927.51373
241	14904.9917
242	14902.04594
243	14854.86378
244	14843.26834
245	14825.36687
246	14801.34774
247	14796.82582
248	14764.85822
249	14747.38257
250	14693.10372
251	14689.63051
252	14656.46502
253	14602.26619
254	14567.41978
255	14544.00637
256	14528.50805
257	14516.73368
258	14475.12093
259	14454.56173
260	14441.61654
261	14405.28988
262	14372.58354
263	14323.99582
264	14319.22142
265	14270.54685
266	14258.8254
267	14248.92233
268	14211.63924
269	14180.46871
270	14173.88666
271	14149.55929
272	14145.71625
273	14124.849
274	14090.83002
275	14041.20276
276	14035.84329
277	13993.58515
278	13987.08323
279	13949.50411
280	13928.87301
281	13925.87649
282	13877.96841
283	13871.0105
284	13858.89726
285	13842.78036
286	13809.9112
287	13792.16493
288	13764.4751
289	13738.37996
290	13727.21221
291	13709.97182
292	13708.1819
293	13697.74233
294	13676.4452
295	13659.75863
296	13643.64901
297	13635.27895
298	13593.6112
299	13562.36828
300	13550.58287
301	13548.26233
302	13520.89852
303	13503.31731
304	13487.87539
305	13456.10835
306	13434.73695
307	13420.97938
308	13394.8104
309	13358.77413
310	13348.52703
311	13322.34496
312	13316.34878
313	13306.7274
314	13269.25874
315	13245.27392
316	13242.43027
317	13229.83398
318	13208.15782
319	13195.92428
320	13190.89143
321	13153.99761
322	13143.71422
323	13125.49113
324	13108.61247
325	13103.67922
326	13046.02128
327	13018.2631
328	13004.85001
329	12996.03898
330	12971.15442
331	12965.70729
332	12930.60447
333	12918.34759
334	12906.1702
335	12867.4996
336	12865.71459
337	12828.95706
338	12793.66463
339	12791.43994
340	12770.35461
341	12766.53224
342	12725.83611
343	12695.53341
344	12647.81894
345	12608.26828
346	12572.03559
347	12537.32053
348	12513.197
349	12486.2265
350	12462.56433
351	12450.46238
352	12432.86118
353	12399.07532
354	12388.32606
355	12354.60377
356	12339.97495
357	12336.90736
358	12313.77392
359	12271.31637
360	12237.78959
361	12218.62398
362	12183.85576
363	12153.07142
364	12131.37491
365	12115.31388
366	12107.17946
367	12097.78844
368	12085.74219
369	12056.59823
370	12046.07936
371	12038.29496
372	11996.66682
373	11983.34661
374	11967.97938
375	11952.57392
376	11929.18891
377	11922.23211
378	11910.7668
379	11889.86258
380	11866.04731
381	11859.08587
382	11832.0046
383	11822.31617
384	11811.14724
385	11800.20701
386	11781.68509
387	11758.97869
388	11751.80897
389	11717.49045
390	11701.85706
391	11685.39825
392	11675.54448
393	11655.77285
394	11647.28719
395	11629.23175
396	11594.89148
397	11581.10934
398	11554.58288
399	11531.85765
400	11517.12418
401	11511.75994
402	11492.69038
403	11484.19981
404	11465.58871
405	11441.90538
406	11432.28333
407	11397.80315
408	11378.88777
409	11368.35415
410	11335.37928
