iter	RMSE
0	77499.89879
1	74042.61161
2	71785.89847
3	68720.44936
4	66269.03995
5	63384.7967
6	61023.46451
7	58607.80171
8	56516.56061
9	54356.00698
10	52311.74148
11	50605.15811
12	48924.28157
13	47315.38531
14	45846.65711
15	44500.07231
16	43327.64539
17	42218.25334
18	41044.01283
19	39933.89489
20	38891.49036
21	37892.40133
22	37061.4019
23	36243.73959
24	35393.94532
25	34661.40096
26	33889.80317
27	33259.87491
28	32700.94436
29	32069.51037
30	31476.70667
31	30949.19733
32	30479.50508
33	29874.53362
34	29356.08998
35	28823.32365
36	28467.09184
37	28067.71326
38	27691.23457
39	27311.82982
40	26989.28007
41	26703.01449
42	26458.31121
43	26153.97148
44	25891.95816
45	25618.9201
46	25378.56229
47	25157.27272
48	24926.04399
49	24673.61731
50	24436.18169
51	24238.9296
52	24044.15213
53	23875.53319
54	23742.59514
55	23603.79708
56	23454.19718
57	23260.74178
58	23089.56646
59	22901.73706
60	22684.51505
61	22529.21215
62	22351.91049
63	22176.32621
64	22027.48961
65	21881.01403
66	21766.00146
67	21678.16644
68	21568.80914
69	21479.20078
70	21397.91556
71	21311.60953
72	21166.8191
73	21034.11119
74	20956.26537
75	20837.65655
76	20743.76104
77	20702.43274
78	20596.86522
79	20516.13361
80	20440.73516
81	20317.53874
82	20226.82209
83	20136.25004
84	20051.04868
85	19975.36928
86	19828.04444
87	19730.42398
88	19645.58383
89	19597.29225
90	19480.59606
91	19392.99774
92	19366.34454
93	19299.11015
94	19204.77853
95	19122.13982
96	18994.23601
97	18944.62738
98	18843.04764
99	18754.33946
100	18696.22337
101	18672.62066
102	18617.51704
103	18542.42685
104	18441.29544
105	18380.58009
106	18333.94115
107	18280.78076
108	18209.2707
109	18132.23842
110	18075.12472
111	18015.5953
112	17947.36527
113	17870.16208
114	17822.46396
115	17757.82253
116	17703.68546
117	17627.85909
118	17555.15461
119	17509.30439
120	17476.55368
121	17374.00735
122	17289.0658
123	17238.21758
124	17173.95969
125	17112.95387
126	17064.04618
127	17024.70091
128	16981.10404
129	16910.57636
130	16881.89983
131	16824.40216
132	16773.60704
133	16700.88183
134	16640.46817
135	16621.58785
136	16546.74195
137	16529.68995
138	16483.32196
139	16437.50984
140	16409.85345
141	16376.6278
142	16335.76737
143	16307.94815
144	16230.31098
145	16194.60616
146	16177.20338
147	16143.77289
148	16126.99172
149	16073.53384
150	16014.40401
151	15972.31562
152	15947.9517
153	15906.53696
154	15865.96869
155	15828.58175
156	15760.01008
157	15753.06558
158	15714.42927
159	15675.45531
160	15591.94651
161	15542.32867
162	15496.4967
163	15466.25548
164	15441.80676
165	15391.87064
166	15377.77973
167	15326.98877
168	15256.61737
169	15234.44349
170	15188.24952
171	15116.53846
172	15084.57486
173	15036.05303
174	14979.03038
175	14935.46056
176	14889.52035
177	14856.7655
178	14848.71236
179	14812.05263
180	14805.2692
181	14796.07955
182	14760.62773
183	14725.46497
184	14707.33388
185	14671.75714
186	14623.76057
187	14575.14187
188	14531.61578
189	14511.59261
190	14505.51936
191	14475.13775
192	14425.40186
193	14363.58351
194	14314.88617
195	14288.86482
196	14282.73449
197	14256.42399
198	14226.27448
199	14169.17525
200	14129.68461
201	14104.6814
202	14095.97378
203	14057.38551
204	14033.87746
205	14005.82982
206	13988.40351
207	13946.22398
208	13898.69746
209	13868.39781
210	13840.24764
211	13805.37242
212	13776.48858
213	13742.66836
214	13703.53174
215	13667.23463
216	13651.87274
217	13631.7616
218	13621.30976
219	13592.65341
220	13563.645
221	13551.38353
222	13528.53001
223	13510.23543
224	13446.94377
225	13398.84802
226	13372.14898
227	13344.26593
228	13324.25966
229	13297.05185
230	13286.02143
231	13273.44824
232	13238.35789
233	13208.32502
234	13170.86208
235	13103.92853
236	13088.55968
237	13035.88955
238	13024.75077
239	12969.72846
240	12950.08434
241	12946.53781
242	12937.3083
243	12927.47301
244	12889.5745
245	12864.34357
246	12849.46367
247	12823.67474
248	12787.52187
249	12747.88702
250	12729.4589
251	12704.80092
252	12641.97686
253	12608.43969
254	12585.23144
255	12556.68014
256	12540.35557
257	12504.85478
258	12490.95442
259	12475.12359
260	12435.14071
261	12432.53869
262	12406.90117
263	12401.68166
264	12375.52361
265	12349.59671
266	12336.67781
267	12322.16246
268	12280.37946
269	12253.25767
270	12208.82252
271	12178.87154
272	12161.92901
273	12131.02769
274	12105.36114
275	12026.09684
276	11995.74399
277	11988.11131
278	11977.2819
279	11972.4555
280	11941.43446
281	11919.36281
282	11892.11275
283	11836.32313
284	11796.58662
285	11780.80747
286	11770.0912
287	11754.72118
288	11725.91872
289	11721.52881
290	11691.89232
291	11654.74607
292	11644.34159
293	11641.2645
294	11623.23065
295	11575.1182
296	11548.98742
297	11536.15624
298	11520.14051
299	11502.98374
300	11483.55824
301	11470.56467
302	11462.93111
303	11451.67316
304	11443.18474
305	11426.18768
306	11417.83739
307	11405.15334
308	11396.58751
309	11376.15377
310	11371.26819
311	11356.15171
312	11325.68014
313	11304.60258
314	11269.60379
315	11238.16025
316	11213.44784
317	11175.77913
318	11162.40191
319	11147.88297
320	11112.45442
321	11110.6245
322	11106.73275
323	11098.59387
324	11080.60603
325	11044.97499
326	11024.59738
327	10997.66266
328	10988.08185
329	10960.46816
330	10922.27569
331	10882.57695
332	10868.62284
333	10852.53986
334	10836.76665
335	10807.75883
336	10786.36205
337	10763.46326
338	10730.43517
339	10713.86002
340	10688.65362
341	10663.33491
342	10639.73015
343	10635.277
344	10617.4074
345	10592.57402
