iter	Passed	Remaining
399	37964	9491
400	38055	9395
401	38139	9297
402	38208	9196
403	38284	9097
404	38372	9001
405	38531	8921
406	38657	8833
407	38762	8740
408	38854	8644
409	38940	8547
410	39023	8450
411	39103	8352
412	39176	8252
413	39268	8157
414	39340	8057
415	39415	7958
416	39495	7861
417	39647	7777
418	39731	7680
419	39815	7583
420	39884	7484
421	39958	7385
422	40033	7287
423	40104	7188
424	40181	7090
425	40254	6992
426	40324	6893
427	40394	6795
428	40470	6697
429	40540	6599
430	40625	6503
431	40773	6418
432	40864	6323
433	40977	6231
434	41062	6135
435	41146	6039
436	41217	5942
437	41297	5845
438	41376	5749
439	41444	5651
440	41514	5554
441	41596	5458
442	41667	5361
443	41745	5265
444	41899	5178
445	42016	5087
446	42136	4996
447	42247	4903
448	42345	4809
449	42434	4714
450	42510	4618
451	42610	4525
452	42683	4428
453	42756	4332
454	42833	4236
455	42909	4140
456	43062	4051
457	43154	3957
458	43229	3861
459	43303	3765
460	43390	3670
461	43461	3574
462	43538	3479
463	43608	3383
464	43683	3287
465	43773	3193
466	43849	3098
467	43930	3003
468	44004	2908
469	44153	2818
470	44303	2727
471	44393	2633
472	44470	2538
473	44547	2443
474	44634	2349
475	44709	2254
476	44789	2159
477	44866	2064
478	44936	1970
479	45008	1875
480	45080	1780
481	45144	1685
482	45696	1608
483	45786	1513
484	45865	1418
485	45952	1323
486	46029	1228
487	46093	1133
488	46170	1038
489	46244	943
490	46409	850
491	46581	757
492	46655	662
493	46825	568
494	46922	473
495	47006	379
496	47077	284
497	47151	189
498	47209	94
499	47280	0
