iter	Passed	Remaining
0	65	32734
1	159	39796
2	242	40196
3	319	39671
4	398	39444
5	472	38863
6	553	38996
7	633	38987
8	702	38299
9	786	38539
10	869	38634
11	952	38746
12	1039	38958
13	1111	38568
14	1222	39517
15	1305	39482
16	1387	39426
17	1466	39264
18	1538	38952
19	1624	38990
20	1699	38769
21	1778	38635
22	1841	38186
23	1920	38098
24	2002	38052
25	2082	37963
26	2161	37871
27	2281	38456
28	2372	38536
29	2446	38326
30	2529	38274
31	2613	38228
32	2691	38083
33	2772	37999
34	2855	37942
35	2927	37737
36	3017	37763
37	3095	37629
38	3174	37521
39	3262	37516
40	3419	38277
41	3542	38630
42	3628	38568
43	3708	38434
44	3793	38351
45	3862	38125
46	3942	37998
47	4024	37894
48	4103	37772
49	4140	37264
50	4211	37077
51	4287	36935
52	4360	36773
53	4483	37032
54	4566	36945
55	4645	36831
56	4754	36947
57	4803	36604
58	4883	36499
59	4963	36400
60	5044	36301
61	5126	36216
62	5205	36110
63	5280	35972
64	5373	35959
65	5497	36152
66	5597	36174
67	5688	36136
68	5778	36095
69	5858	35988
70	5932	35842
71	5988	35600
72	6053	35409
73	6136	35324
74	6211	35196
75	6290	35096
76	6366	34975
77	6441	34848
78	6566	34993
79	6648	34906
80	6733	34829
81	6809	34711
82	6885	34594
83	6960	34473
84	7042	34384
85	7116	34256
86	7226	34303
87	7320	34271
88	7405	34199
89	7485	34099
90	7560	33979
91	8074	35807
92	8152	35675
93	8233	35563
94	8287	35332
95	8364	35199
96	8446	35093
97	8525	34972
98	8600	34837
99	8681	34727
100	8754	34583
101	8828	34449
102	8908	34335
103	8991	34237
104	9108	34266
105	9199	34192
106	9274	34064
107	9349	33936
108	9427	33818
109	9506	33705
110	9584	33587
111	9658	33459
112	9739	33355
113	9820	33253
114	9908	33172
115	9996	33093
116	10105	33080
117	10236	33137
118	10335	33089
119	10424	33009
120	10499	32886
121	10577	32772
122	10657	32665
123	10732	32544
124	10806	32418
125	10899	32352
126	10974	32231
127	11053	32123
128	11142	32045
129	11257	32041
130	11373	32037
131	11457	31941
132	11540	31846
133	11613	31720
134	11693	31616
135	11771	31505
136	11854	31409
137	11934	31306
138	12015	31204
139	12090	31089
140	12165	30973
141	12238	30854
142	12366	30872
143	12451	30783
144	12525	30666
145	12608	30571
146	12684	30460
147	12763	30356
148	12836	30239
149	12921	30150
150	13003	30055
151	13082	29952
152	13168	29864
153	13246	29762
154	13340	29692
155	13467	29698
156	13564	29633
157	13658	29564
158	13736	29459
159	13817	29361
160	13899	29267
161	13981	29171
162	14057	29062
163	14141	28972
164	14213	28857
165	14309	28791
166	14385	28685
167	14508	28671
168	14592	28579
169	14671	28479
170	14757	28393
171	14837	28295
172	14917	28196
173	14994	28093
174	15075	27997
175	15152	27894
176	15253	27836
177	15335	27742
178	15413	27641
179	15532	27613
180	15616	27523
181	15696	27426
182	15772	27322
183	15859	27237
184	15951	27160
185	16034	27069
186	16116	26975
187	16189	26867
188	16262	26760
189	16345	26668
190	16427	26577
191	16505	26477
192	16629	26451
193	16710	26357
194	16786	26256
195	16865	26158
196	16960	26086
197	17044	25997
198	17121	25898
199	17199	25799
200	17271	25692
201	17346	25589
202	17420	25487
203	17512	25409
204	17586	25307
205	17722	25292
206	17822	25227
207	17899	25127
208	17980	25035
209	18057	24936
210	18132	24835
211	18208	24735
212	18291	24646
213	18371	24552
214	18452	24460
215	18530	24363
216	18607	24267
217	18735	24235
218	18847	24183
219	18931	24094
220	19011	24000
221	19093	23910
222	19178	23822
223	19253	23722
224	19340	23637
225	19415	23539
226	19498	23450
227	19583	23362
228	19666	23272
229	19748	23182
230	19869	23137
231	19952	23048
232	20028	22951
233	20107	22857
234	20187	22764
235	20266	22670
236	20339	22570
237	20417	22476
238	20495	22381
239	20577	22292
240	20656	22199
241	20740	22111
242	20840	22041
243	20976	22007
244	21078	21938
245	21157	21845
246	21236	21752
247	21317	21661
248	21395	21567
249	21474	21474
250	21549	21377
251	21641	21298
252	21718	21203
253	21796	21110
254	21871	21013
255	22004	20973
256	22112	20908
257	22186	20810
258	22267	20720
259	22346	20627
260	22425	20535
261	22500	20439
262	22607	20372
263	22688	20282
264	22769	20191
265	22845	20096
266	22925	20006
267	23040	19945
268	23122	19855
269	23201	19763
270	23278	19670
271	23352	19575
272	23427	19480
273	23509	19391
274	23581	19293
275	23662	19204
276	23743	19115
277	23818	19020
278	23891	18925
279	23977	18839
280	24059	18751
281	24177	18690
282	24283	18620
283	24355	18524
284	24432	18431
285	24509	18339
286	24586	18247
287	24663	18154
288	24745	18066
289	24841	17988
290	24916	17895
291	24997	17806
292	25073	17713
293	25191	17651
294	25321	17596
295	25409	17512
296	25485	17419
297	25563	17328
298	25663	17252
299	25738	17159
300	25820	17070
301	25896	16978
302	25974	16887
303	26046	16793
304	26127	16704
305	26199	16610
306	26661	16760
307	26746	16673
308	26827	16582
309	26912	16495
310	26991	16403
311	27075	16314
312	27156	16224
313	27237	16134
314	27321	16045
315	27399	15954
316	27479	15863
317	27559	15773
318	27639	15682
319	27765	15618
320	27864	15538
321	27939	15444
322	28021	15355
323	28095	15261
324	28172	15169
325	28247	15076
326	28326	14986
327	28398	14891
328	28474	14799
329	28554	14709
330	28630	14618
331	28719	14532
332	28855	14470
333	28958	14392
334	29040	14303
335	29112	14209
336	29187	14117
337	29273	14030
338	29349	13938
339	29427	13848
340	29498	13754
341	29574	13663
342	29657	13574
343	29737	13485
344	29857	13414
345	29941	13326
346	30017	13235
347	30095	13145
348	30172	13054
349	30247	12963
350	30319	12870
351	30398	12781
352	30476	12691
353	30552	12600
354	30633	12512
355	30713	12423
356	30794	12334
357	30886	12251
358	31011	12179
359	31110	12098
360	31187	12008
361	31262	11917
362	31365	11837
363	31439	11746
364	31514	11655
365	31588	11565
366	31669	11477
367	31746	11387
368	31824	11297
369	31903	11209
370	32030	11137
371	32114	11050
372	32189	10959
373	32265	10870
374	32345	10781
375	32428	10694
376	32501	10603
377	32575	10513
378	32656	10425
379	32735	10337
380	32810	10247
381	32895	10161
382	32971	10072
383	33097	9998
384	33231	9926
385	33308	9837
386	33385	9748
387	33465	9660
388	33542	9571
389	33623	9483
390	33701	9395
391	33778	9306
392	33856	9217
393	33935	9129
394	34013	9041
395	34087	8952
396	34215	8877
397	34311	8793
398	34385	8704
399	34482	8620
400	34570	8534
401	34651	8447
402	34735	8360
403	34814	8272
404	34890	8184
405	34965	8095
406	35046	8008
407	35119	7919
408	35238	7840
409	35330	7755
410	35404	7666
411	35486	7579
412	35560	7491
413	35648	7405
414	35736	7319
415	35815	7231
416	35894	7144
417	35974	7057
418	36048	6968
419	36126	6881
420	36198	6792
421	36323	6713
422	36426	6630
423	36510	6544
424	36595	6457
425	36671	6370
426	36752	6283
427	36833	6196
428	36916	6109
429	37006	6024
430	37084	5936
431	37159	5849
432	37235	5761
433	37310	5673
434	37428	5592
435	37530	5509
436	37612	5422
437	37692	5335
438	37772	5248
439	37849	5161
440	37933	5074
441	38007	4987
442	38081	4899
443	38158	4812
444	38232	4725
445	38313	4638
446	38398	4552
447	38532	4472
448	38616	4386
449	38696	4299
450	38772	4212
451	38848	4125
452	38925	4038
453	39014	3952
454	39089	3865
455	39166	3779
456	39245	3692
457	39330	3606
458	39410	3520
459	39487	3433
460	40032	3386
461	40125	3300
462	40208	3213
463	40285	3125
464	40368	3038
465	40454	2951
466	40530	2864
467	40611	2776
468	40690	2689
469	40766	2602
470	40848	2515
471	40927	2427
472	41052	2343
473	41144	2256
474	41234	2170
475	41312	2082
476	41390	1995
477	41467	1908
478	41547	1821
479	41626	1734
480	41705	1647
481	41781	1560
482	41872	1473
483	41947	1386
484	42021	1299
485	42157	1214
486	42241	1127
487	42317	1040
488	42393	953
489	42468	866
490	42548	779
491	42622	693
492	42702	606
493	42779	519
494	42855	432
495	42933	346
496	43009	259
497	43086	173
498	43218	86
499	43330	0
