iter	RMSE
0	77728.89177
1	74241.70927
2	71130.98821
3	68016.72639
4	65265.0354
5	62898.60383
6	60402.52672
7	58288.81895
8	56191.88075
9	54212.59883
10	52434.48893
11	50628.47253
12	49025.20774
13	47489.87419
14	46052.47302
15	44788.61834
16	43595.00001
17	42348.62076
18	41263.2824
19	40395.22318
20	39206.83327
21	38338.35775
22	37452.88862
23	36685.43113
24	35837.11546
25	35043.03352
26	34348.10898
27	33861.88051
28	33274.90285
29	32775.20176
30	32181.22014
31	31613.62555
32	31112.17512
33	30564.33247
34	30015.8911
35	29621.03577
36	29236.54668
37	28859.94489
38	28473.84542
39	28143.63299
40	27710.21853
41	27194.6001
42	26771.4705
43	26407.9286
44	26177.20634
45	25881.83213
46	25551.88499
47	25256.03803
48	25025.64531
49	24809.5801
50	24548.86482
51	24235.68802
52	24019.73018
53	23713.88015
54	23471.9921
55	23302.29641
56	23163.56899
57	22984.73771
58	22824.43405
59	22666.45243
60	22622.46225
61	22450.99789
62	22275.42127
63	22130.39701
64	21929.9448
65	21728.26331
66	21536.72642
67	21477.50598
68	21403.31439
69	21266.57857
70	21103.93655
71	21038.42074
72	20918.8201
73	20885.49609
74	20764.7458
75	20728.69507
76	20685.31061
77	20544.66117
78	20418.02713
79	20288.90153
80	20169.39006
81	20120.49442
82	19937.59259
83	19865.01312
84	19780.49274
85	19667.39301
86	19575.3768
87	19464.37746
88	19374.87686
89	19260.64925
90	19133.94511
91	19058.88823
92	18982.44814
93	18903.03434
94	18798.29047
95	18755.26613
96	18640.87363
97	18543.669
98	18456.33865
99	18314.69459
100	18194.55602
101	18095.60786
102	18062.95249
103	17946.73592
104	17870.67365
105	17817.18901
106	17710.62739
107	17601.44768
108	17464.28278
109	17406.42421
110	17339.31493
111	17214.39211
112	17145.86743
113	17115.9534
114	17076.37278
115	17049.21043
116	16965.96777
117	16888.76803
118	16829.86904
119	16816.05153
120	16729.22578
121	16669.06654
122	16642.81358
123	16581.34823
124	16541.38586
125	16512.28287
126	16491.22013
127	16433.63259
128	16388.08278
129	16342.99785
130	16246.15035
131	16167.96871
132	16151.28588
133	16075.26865
134	15973.54025
135	15910.90036
136	15901.1853
137	15870.07721
138	15855.91805
139	15775.0526
140	15723.23739
141	15627.0525
142	15547.52691
143	15498.96506
144	15419.91257
145	15377.05323
146	15287.04396
147	15189.81924
148	15121.70243
149	15057.99315
150	14981.75148
151	14888.47532
152	14803.18968
153	14747.32109
154	14676.87789
155	14645.24702
156	14616.46301
157	14565.62688
158	14557.09881
159	14494.30677
160	14480.37656
161	14471.83107
162	14445.19742
163	14376.43635
164	14324.57062
165	14256.42386
166	14197.41126
167	14130.8836
168	14086.7166
169	14026.88293
170	13984.01593
171	13970.09691
172	13911.76959
173	13900.76426
174	13847.02401
175	13782.41357
176	13730.86789
177	13687.07848
178	13639.10805
179	13622.39693
180	13593.7508
181	13562.38873
182	13535.58849
183	13506.20922
184	13441.93083
185	13402.50298
186	13370.96989
187	13330.67112
188	13280.18116
189	13229.90671
190	13196.64398
191	13188.27372
192	13167.93938
193	13145.32458
194	13136.84695
195	13104.28294
196	13079.5803
197	13047.79087
198	13019.57046
199	12986.05872
200	12974.56462
201	12947.92673
202	12898.62049
203	12877.50479
204	12822.12293
205	12780.58545
206	12744.80096
207	12706.09727
208	12664.32199
209	12645.77026
210	12612.19417
211	12606.35296
212	12576.86361
213	12556.12934
214	12498.52644
215	12489.91554
216	12458.8843
217	12444.18396
218	12427.92785
219	12374.79295
220	12337.10034
221	12265.14308
222	12255.52272
223	12226.94203
224	12219.45167
225	12181.99466
226	12172.91971
227	12129.56008
228	12111.01833
229	12109.92556
230	12083.54557
231	12059.7871
232	12052.37431
233	12042.90227
234	12016.38367
235	11973.96909
236	11918.92543
237	11860.10237
238	11831.08764
239	11805.87938
240	11782.14749
241	11752.14978
242	11704.04607
243	11681.16284
244	11666.76074
245	11631.59379
246	11621.06586
247	11603.35535
248	11574.08303
249	11530.89763
250	11516.85123
251	11506.21337
252	11499.56197
253	11452.5818
254	11406.03791
255	11372.80421
256	11344.78103
257	11293.24042
258	11284.33911
259	11274.23318
260	11248.8907
261	11241.16811
262	11217.25671
263	11179.12349
264	11168.76868
265	11159.65977
266	11129.49847
267	11063.47092
268	11052.90106
269	11032.74289
270	11003.32319
271	10979.89072
272	10964.34894
273	10930.99876
274	10923.33763
275	10907.50183
276	10900.07
277	10894.26204
278	10864.52057
279	10813.62347
280	10797.78612
281	10777.30193
282	10753.89478
283	10740.25981
284	10704.46684
285	10656.19394
286	10619.5508
287	10609.2143
288	10592.30286
289	10572.33079
290	10565.34557
291	10554.54189
292	10549.33812
293	10530.50356
294	10514.66315
295	10495.92592
296	10485.68663
297	10470.44043
298	10441.98184
299	10435.67406
300	10403.92599
301	10391.44631
302	10345.49929
303	10333.29845
304	10311.19174
305	10303.85519
306	10287.64652
307	10252.08321
308	10244.14212
309	10220.32866
310	10192.71321
311	10171.23503
312	10162.935
313	10139.18477
314	10137.19255
315	10113.03985
316	10079.97347
317	10060.49661
318	10034.62906
319	10014.35142
320	10009.93858
321	9991.900021
322	9982.062839
323	9946.209705
324	9926.717481
325	9924.881399
326	9892.308304
327	9871.40851
328	9870.736047
329	9864.556357
330	9857.403613
331	9844.819239
332	9817.494566
333	9814.99084
334	9791.008373
335	9780.319618
336	9757.486772
337	9752.645917
338	9737.023367
339	9705.218507
340	9702.408608
341	9693.721744
342	9664.3048
343	9621.78224
344	9592.881487
345	9587.158638
346	9581.658431
347	9574.499377
348	9572.649927
349	9526.476168
350	9516.732201
351	9511.355413
352	9484.054881
353	9472.106507
354	9459.193188
355	9443.00381
356	9437.787094
357	9431.634225
358	9412.030918
359	9385.508281
360	9380.469037
361	9342.006082
362	9315.301282
363	9303.203528
364	9297.452922
365	9287.086682
366	9265.048235
367	9257.504175
368	9245.166904
369	9234.017487
370	9199.831813
371	9180.437504
372	9159.712573
373	9154.228702
374	9138.763824
375	9129.36862
376	9118.737171
377	9092.243811
378	9072.207338
379	9066.923637
380	9040.116046
381	9033.546978
382	9014.852999
383	8983.069734
384	8964.959585
385	8963.109559
386	8950.083794
387	8948.216421
388	8926.728339
389	8901.857378
390	8888.402751
391	8875.993536
392	8853.93558
393	8842.020656
394	8819.068975
395	8810.667193
396	8788.710805
397	8768.621028
398	8751.785352
399	8743.449088
400	8717.675226
401	8713.43005
402	8701.172117
403	8687.879754
404	8661.300979
405	8659.612649
406	8646.330747
407	8640.320408
408	8627.732021
409	8613.307069
410	8594.348834
411	8587.184159
412	8571.048746
413	8562.608894
414	8537.70526
415	8523.381502
416	8503.227893
417	8490.105027
418	8486.418691
419	8479.374398
420	8476.419239
421	8453.089654
422	8451.155885
423	8445.923332
424	8437.696356
425	8408.820136
426	8400.255628
427	8371.353524
428	8350.320785
429	8323.627613
430	8313.700396
431	8301.029209
432	8297.192265
433	8279.100052
434	8269.128691
435	8254.528169
436	8241.481102
437	8220.446632
438	8198.343967
439	8183.170062
440	8174.976572
441	8167.904204
442	8145.348434
443	8143.280945
444	8130.655339
445	8117.983247
446	8100.825318
447	8098.797104
448	8095.876992
449	8088.526638
450	8072.494553
451	8065.511291
452	8062.910509
453	8037.659033
454	8029.313701
455	8009.389308
456	7991.53413
457	7979.748973
458	7969.819776
459	7966.177122
460	7964.494922
461	7934.947001
462	7922.201678
463	7916.41072
464	7893.350193
465	7892.291812
466	7878.609988
467	7845.731186
468	7832.48374
469	7828.450942
470	7820.842707
471	7819.233048
472	7796.848604
473	7784.737519
474	7780.227238
475	7770.844793
476	7767.350557
477	7764.882349
478	7756.162866
479	7730.263357
480	7722.882343
481	7707.402517
482	7696.490013
483	7694.919846
484	7687.855121
485	7684.32256
486	7653.121395
487	7642.176248
488	7632.782401
489	7632.361779
490	7609.642839
491	7586.61866
492	7584.290123
493	7576.892612
494	7561.714386
495	7560.735036
496	7556.812019
497	7551.255941
498	7548.642316
499	7547.163472
