iter	Passed	Remaining
0	63	31853
1	145	36270
2	221	36620
3	331	41165
4	400	39607
5	486	40014
6	569	40135
7	637	39210
8	714	38956
9	790	38745
10	874	38896
11	953	38791
12	1031	38625
13	1113	38655
14	1192	38559
15	1269	38403
16	1398	39721
17	1552	41565
18	1634	41384
19	1714	41153
20	1793	40902
21	1877	40801
22	1952	40497
23	2045	40572
24	2125	40381
25	2203	40175
26	2288	40095
27	2343	39501
28	2453	39842
29	2537	39747
30	2633	39835
31	2709	39620
32	2796	39578
33	2879	39462
34	2962	39355
35	3012	38823
36	3095	38730
37	3172	38568
38	3254	38475
39	3338	38396
40	3420	38289
41	3554	38765
42	3696	39286
43	3787	39254
44	3888	39314
45	3987	39355
46	4071	39238
47	4159	39166
48	4248	39102
49	4348	39138
50	4438	39077
51	4564	39326
52	4653	39244
53	4741	39160
54	4821	39007
55	4876	38661
56	4962	38570
57	5045	38449
58	5124	38301
59	5209	38200
60	5238	37699
61	5321	37596
62	5400	37462
63	5489	37399
64	5568	37266
65	5765	37909
66	5865	37907
67	5945	37771
68	6039	37723
69	6135	37689
70	6217	37567
71	6302	37465
72	6380	37324
73	6422	36972
74	6502	36846
75	6572	36670
76	6623	36387
77	6746	36497
78	6828	36387
79	6914	36301
80	6993	36177
81	7074	36061
82	7154	35945
83	7231	35811
84	7308	35680
85	7386	35558
86	7469	35459
87	7545	35325
88	7631	35240
89	7713	35141
90	7833	35208
91	7910	35079
92	7989	34964
93	8069	34853
94	8151	34749
95	8228	34629
96	8321	34574
97	8398	34450
98	8494	34406
99	8572	34289
100	8659	34209
101	8741	34109
102	8857	34138
103	8960	34120
104	9036	33994
105	9117	33888
106	9193	33767
107	9275	33667
108	9354	33555
109	9442	33478
110	9534	33414
111	9619	33325
112	9695	33204
113	9778	33109
114	9887	33103
115	10010	33139
116	10101	33066
117	10180	32956
118	10265	32866
119	10344	32756
120	10426	32658
121	10510	32565
122	10586	32447
123	10673	32363
124	10750	32252
125	10845	32192
126	11325	33262
127	11406	33149
128	11497	33066
129	11588	32982
130	11670	32873
131	11757	32778
132	11838	32667
133	11923	32566
134	12004	32457
135	12084	32345
136	12161	32224
137	12242	32113
138	12325	32012
139	12468	32062
140	12558	31974
141	12646	31883
142	12724	31766
143	12799	31642
144	12880	31536
145	12957	31418
146	13036	31306
147	13114	31191
148	13197	31088
149	13276	30978
150	13355	30869
151	13474	30849
152	13556	30744
153	13655	30680
154	13739	30581
155	13817	30470
156	13895	30357
157	13973	30246
158	14052	30137
159	14129	30024
160	14211	29924
161	14289	29814
162	14366	29702
163	14442	29589
164	14575	29592
165	14685	29548
166	14767	29446
167	14847	29340
168	14929	29241
169	15010	29137
170	15081	29015
171	15162	28915
172	15241	28808
173	15316	28696
174	15388	28578
175	15475	28488
176	15588	28447
177	15690	28383
178	15769	28278
179	15862	28199
180	15943	28099
181	16021	27993
182	16100	27890
183	16173	27776
184	16256	27680
185	16334	27576
186	16417	27479
187	16501	27384
188	16624	27356
189	16716	27274
190	16791	27165
191	16879	27077
192	16956	26972
193	17034	26868
194	17110	26763
195	17188	26660
196	17263	26553
197	17347	26459
198	17426	26358
199	17505	26258
200	17587	26162
201	17709	26125
202	17800	26043
203	17907	25983
204	17993	25893
205	18077	25799
206	18161	25706
207	18257	25630
208	18339	25534
209	18423	25442
210	18528	25377
211	18607	25277
212	18688	25181
213	18848	25190
214	18948	25117
215	19029	25020
216	19106	24918
217	19184	24817
218	19264	24718
219	19354	24633
220	19435	24536
221	19517	24440
222	19599	24345
223	19681	24250
224	19759	24151
225	19881	24104
226	19968	24015
227	20049	23919
228	20128	23819
229	20222	23739
230	20301	23641
231	20390	23554
232	20469	23456
233	20542	23352
234	20631	23264
235	20708	23165
236	20831	23117
237	20951	23063
238	21032	22968
239	21111	22870
240	21205	22789
241	21279	22686
242	21356	22586
243	21433	22487
244	21517	22395
245	21599	22301
246	21677	22204
247	21754	22105
248	21838	22014
249	21955	21955
250	22063	21887
251	22140	21788
252	22222	21695
253	22301	21599
254	22376	21498
255	22461	21408
256	22537	21309
257	22630	21227
258	22707	21129
259	22788	21035
260	22863	20936
261	22941	20840
262	23077	20795
263	23167	20709
264	23249	20617
265	23324	20518
266	23413	20432
267	23491	20336
268	23579	20248
269	23658	20153
270	23736	20057
271	23814	19962
272	23905	19877
273	23982	19781
274	24099	19717
275	24179	19623
276	24259	19530
277	24337	19435
278	24414	19339
279	24503	19252
280	24585	19161
281	24694	19090
282	24803	19019
283	24887	18928
284	24967	18834
285	25049	18743
286	25163	18675
287	25275	18605
288	25349	18508
289	25445	18426
290	25518	18327
291	25605	18239
292	25685	18146
293	25764	18052
294	25859	17970
295	25948	17883
296	26033	17794
297	26112	17700
298	26235	17636
299	26315	17543
300	26401	17454
301	26494	17370
302	26579	17281
303	26694	17211
304	26770	17115
305	26852	17024
306	26927	16928
307	27009	16837
308	27087	16743
309	27170	16653
310	27292	16585
311	27389	16504
312	27474	16414
313	27558	16324
314	27637	16231
315	27712	16136
316	27797	16046
317	27874	15953
318	27948	15858
319	28040	15772
320	28114	15677
321	28202	15590
322	28279	15497
323	28408	15431
324	28495	15343
325	28582	15255
326	28661	15163
327	28742	15072
328	28826	14982
329	28904	14890
330	28985	14799
331	29062	14706
332	29157	14622
333	29231	14528
334	29315	14438
335	29437	14368
336	29517	14277
337	29600	14187
338	29678	14094
339	29759	14004
340	29843	13915
341	29917	13821
342	30000	13731
343	30077	13639
344	30154	13547
345	30233	13456
346	30315	13366
347	30397	13277
348	30523	13206
349	30606	13117
350	30683	13025
351	30763	12934
352	30843	12844
353	30925	12754
354	31003	12663
355	31079	12571
356	31153	12478
357	31234	12388
358	31310	12297
359	31388	12206
360	31473	12118
361	31633	12059
362	31739	11978
363	31843	11897
364	31926	11808
365	32014	11721
366	32093	11630
367	32175	11541
368	32251	11449
369	32330	11359
370	32412	11269
371	32493	11180
372	32612	11104
373	32691	11013
374	32776	10925
375	32855	10835
376	32935	10745
377	33010	10654
378	33095	10566
379	33173	10475
380	33255	10387
381	33332	10296
382	33423	10210
383	33501	10120
384	33586	10032
385	34077	10064
386	34168	9976
387	34264	9890
388	34363	9805
389	34448	9716
390	34539	9628
391	34637	9543
392	34712	9451
393	34793	9360
394	34875	9270
395	34985	9188
396	35072	9099
397	35201	9021
398	35304	8936
399	35379	8844
400	35471	8757
401	35560	8668
402	35639	8578
403	35719	8487
404	35850	8409
405	35981	8330
406	36076	8243
407	36165	8154
408	36316	8080
409	36422	7995
410	36511	7906
411	36592	7815
412	36679	7726
413	36760	7636
414	36838	7545
415	36918	7454
416	37019	7368
417	37094	7276
418	37174	7186
419	37254	7096
420	37376	7013
421	37471	6926
422	37548	6835
423	37634	6745
424	37709	6654
425	37793	6565
426	37872	6474
427	37954	6384
428	38028	6293
429	38110	6204
430	38190	6114
431	38282	6025
432	38394	5940
433	38502	5855
434	38586	5765
435	38659	5674
436	38738	5584
437	38821	5495
438	38900	5405
439	38977	5315
440	39053	5224
441	39130	5134
442	39208	5044
443	39285	4954
444	39369	4865
445	39519	4784
446	39598	4695
447	39675	4605
448	39751	4515
449	39836	4426
450	39918	4337
451	39999	4247
452	40074	4157
453	40160	4069
454	40238	3979
455	40326	3891
456	40404	3801
457	40546	3718
458	40663	3632
459	40743	3542
460	40821	3453
461	40900	3364
462	40983	3275
463	41065	3186
464	41156	3097
