iter	RMSE
0	77642.04459
1	74467.10922
2	71444.25097
3	68893.34262
4	66062.10906
5	63751.85942
6	61313.81694
7	59154.08967
8	56993.63781
9	55153.91499
10	53099.31088
11	51281.38479
12	49454.34545
13	47893.95999
14	46491.40002
15	44962.27209
16	43609.57947
17	42332.00195
18	41176.14653
19	40027.3528
20	38924.61652
21	37991.02989
22	37011.07177
23	36242.95127
24	35507.95209
25	34831.18198
26	34207.29243
27	33508.47721
28	32939.68186
29	32370.14928
30	31689.99542
31	31156.16736
32	30691.68565
33	30057.71905
34	29568.81289
35	29170.48713
36	28736.556
37	28296.35506
38	27879.02506
39	27518.93472
40	27158.02275
41	26881.5334
42	26611.27812
43	26229.32054
44	25958.06713
45	25717.04314
46	25457.92647
47	25209.72038
48	24920.62629
49	24703.33003
50	24470.01172
51	24262.01374
52	24078.37557
53	23905.76671
54	23673.35423
55	23535.62132
56	23340.60373
57	23207.25732
58	23116.16194
59	23031.51212
60	22863.58445
61	22675.60718
62	22594.45982
63	22472.91457
64	22352.01824
65	22265.14074
66	22115.54246
67	21993.85041
68	21825.2276
69	21682.15758
70	21484.77957
71	21341.18523
72	21204.18874
73	21058.23321
74	20973.18464
75	20851.80437
76	20733.28051
77	20647.46986
78	20508.90737
79	20416.21597
80	20331.36676
81	20258.85089
82	20175.6596
83	20029.58408
84	19866.13138
85	19786.88157
86	19684.86634
87	19564.73085
88	19546.64606
89	19472.47396
90	19399.33632
91	19317.1844
92	19185.20464
93	19110.43924
94	19039.64965
95	18986.90562
96	18924.02572
97	18889.21173
98	18826.3627
99	18808.80676
100	18712.9893
101	18623.97002
102	18569.4268
103	18453.08651
104	18392.00639
105	18300.54786
106	18288.56843
107	18208.862
108	18135.77009
109	18092.34486
110	18033.86346
111	17972.95352
112	17911.8891
113	17855.08536
114	17793.19573
115	17753.09282
116	17733.39332
117	17726.36625
118	17654.22343
119	17623.6783
120	17573.03418
121	17496.54003
122	17451.60487
123	17428.07057
124	17388.55822
125	17337.24585
126	17310.87302
127	17256.3452
128	17231.25613
129	17212.76359
130	17145.79821
131	17128.40864
132	17107.71153
133	17007.93142
134	16907.52132
135	16903.6593
136	16836.82543
137	16798.0984
138	16768.66595
139	16759.00376
140	16746.58399
141	16688.64822
142	16634.467
143	16614.4183
144	16599.73722
145	16562.27806
146	16488.63411
147	16449.98452
148	16382.60578
149	16364.61055
150	16303.66478
151	16294.31898
152	16288.28683
153	16247.95431
154	16210.43827
155	16166.85248
156	16156.82756
157	16152.53271
158	16102.4325
159	16067.64865
160	15941.80644
161	15806.9762
162	15730.57551
163	15601.00265
164	15467.74403
165	15464.61727
166	15384.01905
167	15287.72161
168	15180.5348
169	15162.00709
170	15090.40134
171	15037.97458
172	15012.76313
173	14951.83938
174	14886.54969
175	14873.30824
176	14807.13975
177	14775.02218
178	14763.35602
179	14692.64882
180	14645.44833
181	14623.15782
182	14573.84219
183	14566.90103
184	14475.80479
185	14422.89817
186	14398.85828
187	14348.72842
188	14324.20444
189	14253.05783
190	14198.69437
191	14144.57802
192	14134.41169
193	14053.55274
194	14006.20582
195	13983.71826
196	13981.04291
197	13908.33226
198	13884.56531
199	13846.07916
200	13815.28396
201	13772.77162
202	13753.01484
203	13735.24951
204	13711.11782
205	13700.4141
206	13697.98831
207	13675.98915
208	13634.40894
209	13613.71531
210	13585.9508
211	13562.83741
212	13492.28863
213	13459.36892
214	13432.19428
215	13383.39572
216	13371.55156
217	13312.09594
218	13309.24818
219	13306.23401
220	13261.80778
221	13228.27863
