iter	Passed	Remaining
0	65	32590
1	143	35646
2	219	36352
3	296	36797
4	382	37892
5	458	37737
6	535	37718
7	614	37784
8	748	40851
9	819	40179
10	900	40018
11	974	39626
12	1052	39410
13	1127	39132
14	1206	39014
15	1292	39083
16	1375	39067
17	1449	38807
18	1523	38556
19	1617	38815
20	1690	38551
21	1848	40155
22	1991	41296
23	2089	41439
24	2172	41282
25	2264	41279
26	2358	41320
27	2445	41217
28	2517	40887
29	2571	40287
30	2645	40028
31	2722	39815
32	2799	39616
33	2925	40090
34	2988	39709
35	3079	39687
36	3153	39458
37	3237	39366
38	3321	39256
39	3399	39094
40	3482	38984
41	3566	38890
42	3651	38808
43	3728	38639
44	3810	38524
45	3887	38366
46	4027	38815
47	4114	38744
48	4195	38616
49	4272	38450
50	4345	38257
51	4425	38127
52	4502	37973
53	4589	37906
54	4664	37739
55	4744	37618
56	4819	37453
57	4894	37301
58	4983	37248
59	5116	37519
60	5282	38019
61	5362	37885
62	5402	37471
63	5475	37304
64	5566	37249
65	5647	37136
66	5731	37037
67	5812	36924
68	5886	36769
69	5964	36640
70	6042	36508
71	6122	36392
72	6257	36601
73	6340	36500
74	6415	36355
75	6492	36218
76	6568	36085
77	6648	35967
78	6734	35887
79	6816	35784
80	6894	35662
81	6978	35572
82	7059	35466
83	7133	35327
84	7215	35228
85	7739	37257
86	7822	37134
87	7910	37034
88	8000	36946
89	8084	36830
90	8183	36779
91	8264	36649
92	8357	36573
93	8436	36438
94	8512	36292
95	8603	36206
96	8687	36093
97	8813	36154
98	8971	36339
99	9045	36180
100	9120	36032
101	9161	35748
102	9243	35628
103	9323	35501
104	9375	35269
105	9453	35136
106	9544	35054
107	9621	34921
108	9697	34785
109	9778	34668
110	9917	34755
111	9998	34636
112	10072	34496
113	10146	34357
114	10223	34226
115	10299	34094
116	10374	33962
117	10451	33833
118	10532	33722
119	10605	33585
120	10695	33500
121	10771	33372
122	10847	33246
123	10925	33129
124	11050	33152
125	11131	33042
126	11208	32919
127	11287	32804
128	11359	32669
129	11434	32545
130	11511	32424
131	11599	32336
132	11697	32276
133	11777	32168
134	11858	32062
135	11963	32020
136	12109	32084
137	12246	32123
138	12336	32038
139	12402	31893
140	12481	31779
141	12565	31679
142	12644	31568
143	12728	31468
144	12814	31374
145	12891	31256
146	12980	31169
147	13072	31091
148	13205	31109
149	13316	31071
150	13421	31021
151	13502	30912
152	13588	30817
153	13671	30717
154	13750	30606
155	13833	30504
156	13935	30444
157	14011	30328
158	14087	30212
159	14159	30089
160	14287	30082
161	14404	30052
162	14497	29974
163	14578	29868
164	14674	29794
165	14761	29699
166	14847	29605
167	14927	29499
168	15034	29446
169	15113	29337
170	15190	29226
171	15280	29139
172	15429	29163
173	15530	29097
174	15616	29002
175	15705	28912
176	15787	28809
177	15866	28702
178	16008	28707
179	16120	28659
180	16216	28580
181	16325	28524
182	16418	28440
183	16571	28460
184	16662	28371
185	16750	28276
186	16846	28197
187	16932	28100
188	17014	27997
189	17100	27901
190	17189	27808
191	17272	27707
192	17353	27603
193	17428	27490
194	17506	27382
195	17636	27355
196	17785	27355
197	17876	27266
198	17956	27159
199	18043	27065
200	18120	26954
201	18203	26855
202	18280	26744
203	18361	26642
204	18436	26530
205	18528	26443
206	18603	26332
207	18745	26315
208	18832	26221
209	18915	26122
210	19002	26027
211	19078	25918
212	19158	25814
213	19235	25707
214	19314	25603
215	19393	25499
216	19474	25397
217	19551	25291
218	19648	25211
219	19730	25111
220	20246	25560
221	20330	25458
222	20426	25373
223	20519	25282
224	20604	25183
225	20718	25119
226	20818	25037
227	20905	24939
228	20984	24833
229	21069	24733
230	21141	24619
231	21217	24509
232	21359	24476
233	21484	24422
234	21562	24315
235	21642	24210
236	21723	24106
237	21815	24015
238	21920	23938
239	21996	23829
240	22089	23739
241	22169	23635
242	22264	23547
243	22430	23534
244	22552	23473
245	22668	23405
246	22762	23315
247	22846	23214
248	22941	23125
249	23027	23027
250	23112	22928
251	23219	22850
252	23301	22748
253	23384	22648
254	23550	22626
255	23632	22524
256	23730	22437
257	23806	22330
258	23903	22242
259	23988	22142
260	24069	22040
261	24152	21940
262	24227	21832
263	24311	21732
264	24386	21625
265	24473	21529
266	24549	21423
267	24711	21391
268	24820	21314
269	24903	21214
270	24979	21108
271	25054	21001
272	25138	20902
273	25216	20798
274	25302	20701
275	25374	20594
276	25460	20496
277	25536	20392
278	25625	20297
279	25759	20239
280	25860	20154
281	25950	20060
282	26037	19965
283	26113	19860
284	26200	19765
285	26311	19687
286	26402	19594
287	26492	19501
288	26573	19401
289	26651	19299
290	26730	19198
291	26889	19154
292	26983	19063
293	27065	18964
294	27147	18865
295	27233	18769
296	27319	18672
297	27398	18572
298	27494	18482
299	27613	18409
300	27699	18312
301	27780	18213
302	27866	18117
303	28003	18055
304	28089	17959
305	28181	17866
306	28259	17765
307	28337	17664
308	28416	17564
309	28497	17466
310	28577	17366
311	28673	17277
312	28753	17178
313	28848	17088
314	28926	16988
315	29073	16928
316	29161	16834
317	29243	16736
318	29321	16637
319	29410	16543
320	29499	16449
321	29585	16354
322	29666	16257
323	29749	16160
324	29831	16063
325	29919	15969
326	30000	15871
327	30084	15775
328	30265	15730
329	30412	15667
330	30500	15572
331	30583	15475
332	30667	15380
333	30750	15283
334	30829	15184
335	30910	15087
336	30985	14987
337	31075	14893
338	31146	14792
339	31292	14726
340	31377	14630
341	31457	14532
342	31531	14432
343	31612	14335
344	31699	14241
345	31779	14144
346	31860	14047
347	31938	13950
348	32036	13861
349	32453	13908
350	32579	13829
351	32691	13745
352	32773	13647
353	32865	13554
354	32946	13456
355	33028	13359
356	33117	13265
357	33203	13169
358	33288	13074
359	33394	12986
360	33966	13078
361	34138	13014
362	34242	12923
363	34370	12841
364	34456	12744
365	34542	12646
366	34624	12547
367	34719	12453
368	34800	12354
369	34878	12254
370	34964	12157
371	35043	12057
372	35211	11988
373	35360	11912
374	35452	11817
375	35529	11717
376	35615	11619
377	35713	11526
378	35788	11425
379	35876	11329
380	35960	11231
381	36038	11132
382	36118	11033
383	36203	10936
384	36392	10870
385	36493	10777
386	36573	10679
387	36657	10581
388	36738	10483
389	36811	10382
390	36921	10292
391	37000	10193
392	37080	10095
393	37170	10000
394	37251	9902
395	37331	9804
396	37470	9721
397	37587	9633
398	37666	9534
399	37739	9434
400	37812	9335
401	37898	9238
402	37971	9139
403	38066	9045
404	38135	8945
405	38205	8845
406	38280	8747
407	38350	8647
408	38422	8548
409	38557	8463
410	38641	8367
411	38717	8269
412	38789	8171
413	38868	8074
414	38948	7977
415	39046	7884
416	39125	7787
417	39209	7691
418	39290	7595
419	39380	7501
420	39457	7404
421	39536	7307
422	39686	7224
423	39847	7142
424	39928	7046
425	40009	6950
426	40089	6853
427	40173	6758
428	40261	6663
429	40333	6565
430	40413	6469
431	40497	6374
432	40570	6277
433	40646	6181
434	40779	6093
435	40880	6000
436	40969	5906
437	41056	5811
438	41190	5723
439	41282	5629
440	41365	5534
441	41459	5440
442	41552	5346
443	41638	5251
444	41736	5158
445	41889	5071
446	41983	4977
447	42091	4885
448	42186	4791
449	42273	4697
450	42358	4602
451	42441	4507
452	42517	4411
453	42594	4315
454	42686	4221
455	42773	4127
456	42852	4032
457	42989	3942
458	43080	3848
459	43166	3753
460	43265	3660
461	43355	3566
462	43442	3471
463	43577	3380
464	43682	3287
465	43759	3192
466	43870	3100
467	43943	3004
468	44083	2913
469	44224	2822
470	44320	2728
471	44394	2633
472	44470	2538
473	44547	2443
474	44621	2348
475	44712	2254
476	44786	2159
477	44865	2064
478	44941	1970
479	45012	1875
480	45090	1781
481	45573	1701
482	45658	1607
483	45730	1511
484	45806	1416
485	45892	1322
486	45978	1227
487	46063	1132
488	46141	1037
489	46217	943
490	46294	848
491	46373	754
492	46460	659
493	46537	565
494	46675	471
495	46760	377
496	46881	282
497	46964	188
498	47057	94
499	47133	0
