iter	RMSE
0	77620.38803
1	73995.81581
2	71038.30962
3	68157.38726
4	65413.37664
5	62951.52541
6	60470.78481
7	58219.69127
8	56058.98407
9	54175.75749
10	52312.71148
11	50730.57053
12	48882.78726
13	47445.44428
14	46103.89071
15	44668.97051
16	43372.84216
17	42262.38741
18	41400.5944
19	40422.59074
20	39462.70341
21	38532.29329
22	37690.85369
23	36842.39683
24	35971.09392
25	35251.62067
26	34591.65643
27	33898.57076
28	33281.93146
29	32743.99724
30	32183.88945
31	31564.7454
32	31036.5686
33	30568.89169
34	30168.52401
35	29733.13614
36	29334.79492
37	28980.27327
38	28584.72568
39	28193.66593
40	27839.27648
41	27594.57261
42	27336.4579
43	26969.68376
44	26588.55015
45	26375.37781
46	26087.93195
47	25893.35225
48	25699.07434
49	25533.77232
50	25338.63954
51	25077.67976
52	24795.85752
53	24589.36035
54	24400.41019
55	24245.83819
56	24073.1005
57	23931.96903
58	23792.16653
59	23654.595
60	23503.70709
61	23337.79303
62	23295.25539
63	23159.82698
64	22966.73553
65	22757.94853
66	22539.07162
67	22403.17484
68	22226.25519
69	22090.97668
70	21966.46117
71	21859.76866
72	21710.83606
73	21644.02733
74	21523.26618
75	21395.54288
76	21275.94502
77	21234.45887
78	21120.45189
79	21000.35806
80	20871.64608
81	20801.85927
82	20707.78714
83	20629.92107
84	20545.53287
85	20412.63907
86	20299.39882
87	20149.92533
88	20046.70833
89	19965.89928
90	19878.20577
91	19816.03755
92	19726.10665
93	19643.26694
94	19571.22891
95	19416.51127
96	19324.92826
97	19300.533
98	19212.14608
99	19170.31008
100	19122.07693
101	19115.77071
102	19025.36694
103	18943.8504
104	18939.32097
105	18891.03353
106	18880.53572
107	18856.9794
108	18742.71657
109	18706.2966
110	18680.62397
111	18605.67221
112	18560.47854
113	18479.03979
114	18429.59148
115	18324.12082
116	18232.77164
117	18218.83602
118	18146.75075
119	18076.27601
120	17975.40186
121	17888.73855
122	17829.7687
123	17767.4873
124	17721.34936
125	17671.34489
126	17602.22107
127	17567.40708
128	17502.70617
129	17493.49617
130	17481.80324
131	17451.0295
132	17382.64507
133	17299.80819
134	17246.46104
135	17184.86437
136	17158.7079
137	17149.72275
138	17106.7141
139	17052.04389
140	16999.44839
141	16983.54033
142	16933.59111
143	16871.86224
144	16854.277
145	16800.89909
146	16745.95981
147	16697.38301
148	16666.96529
149	16652.41136
150	16598.16723
151	16589.28089
152	16569.95886
153	16546.6191
154	16499.79131
155	16456.8288
156	16438.0639
157	16394.57505
158	16368.47816
159	16329.36601
160	16288.92603
161	16230.92381
162	16198.95582
163	16138.73225
164	16116.58076
165	16036.68117
166	15999.09567
167	15949.74324
168	15900.07952
169	15846.86854
170	15806.14052
171	15781.04809
172	15766.98203
173	15710.43668
174	15689.02129
175	15684.16747
176	15673.8544
177	15604.58157
178	15530.62178
179	15502.24127
180	15431.13538
181	15405.94667
182	15364.81269
183	15331.60075
184	15291.5016
185	15235.66271
186	15216.15513
187	15156.33977
188	15132.9045
189	15096.76554
190	15061.14345
191	15036.33022
192	15002.06752
193	14943.88055
194	14864.95956
195	14852.65254
196	14793.04976
197	14773.50313
198	14742.00535
199	14680.51399
200	14666.87353
201	14635.29695
202	14605.56267
203	14567.38963
204	14511.548
205	14474.30383
206	14462.42202
207	14412.12683
208	14362.42843
209	14327.33135
210	14270.68373
211	14229.45195
212	14215.99064
213	14200.32678
214	14178.60154
215	14137.14317
216	14088.10226
217	14062.25194
218	14025.05298
219	14001.29523
220	13981.30051
221	13973.10391
222	13941.18444
223	13892.12628
224	13850.69161
225	13826.70245
226	13816.21535
227	13785.7206
228	13755.64424
229	13716.3579
230	13687.15849
231	13630.10515
232	13608.13942
233	13597.62215
234	13566.82157
235	13528.04524
236	13473.06539
237	13442.7992
238	13419.52213
239	13372.07897
240	13338.49985
241	13309.7983
242	13286.82594
243	13229.56483
244	13194.03174
245	13135.32802
246	13128.84582
247	13107.56763
248	13052.04568
249	13034.0489
250	13025.68067
251	12975.84304
252	12957.68426
253	12931.18785
254	12903.72728
255	12887.97451
256	12835.31864
257	12808.0779
258	12775.41673
259	12730.77171
260	12698.83677
261	12685.50079
262	12665.40119
263	12657.27304
264	12640.72849
265	12620.7176
266	12600.35826
267	12590.00327
268	12576.18854
269	12553.6158
270	12544.87732
271	12506.15323
272	12482.78341
273	12465.98314
274	12447.61801
275	12433.14753
276	12425.38681
277	12404.3562
278	12400.81018
279	12344.21674
280	12334.20673
281	12320.55373
282	12273.8328
283	12252.9312
284	12234.49457
285	12204.51925
286	12164.37516
287	12153.65485
288	12137.17485
289	12116.10237
290	12100.90734
291	12071.03993
292	12061.48986
293	12017.42538
294	12002.469
295	11969.01899
296	11946.15394
297	11930.6913
298	11897.25347
299	11884.45217
300	11864.87348
301	11854.24778
302	11838.1401
303	11827.54368
304	11776.93187
305	11737.2397
306	11713.89659
307	11676.90181
308	11636.48899
309	11626.2975
310	11608.92758
311	11585.01153
312	11539.3664
313	11518.03742
314	11504.75492
315	11472.85061
