iter	Passed	Remaining
0	130	64877
1	232	57937
2	320	53127
3	413	51254
4	498	49368
5	599	49366
6	697	49097
7	779	47940
8	868	47399
9	995	48774
10	1127	50139
11	1229	50010
12	1319	49438
13	1408	48880
14	1497	48420
15	1599	48376
16	1692	48081
17	1783	47759
18	1877	47537
19	1968	47252
20	2010	45858
21	2103	45710
22	2199	45606
23	2288	45390
24	2377	45181
25	2466	44971
26	2570	45031
27	2630	44335
28	2718	44154
29	2805	43958
30	2912	44070
31	2999	43866
32	3085	43660
33	3182	43618
34	3275	43514
35	3316	42744
36	3403	42583
37	3487	42405
38	3589	42427
39	3677	42288
40	3774	42252
41	3861	42108
42	3972	42223
43	4065	42132
44	4170	42166
45	4261	42059
46	4329	41731
47	4417	41597
48	4515	41558
49	4605	41448
50	4690	41291
51	4779	41175
52	4871	41087
53	4964	40999
54	5056	40913
55	5154	40871
56	5239	40721
57	5340	40694
58	5427	40567
59	5523	40502
60	5611	40386
61	5703	40294
62	5763	39978
63	5848	39844
64	5937	39732
65	6027	39636
66	6121	39564
67	6224	39543
68	6318	39467
69	6414	39402
70	6502	39291
71	6591	39185
72	6677	39057
73	6773	38991
74	6860	38878
75	6955	38804
76	7049	38727
77	7144	38655
78	7237	38569
79	7339	38532
80	7437	38475
81	7524	38358
82	7621	38291
83	7707	38168
84	7800	38085
85	7889	37979
86	7979	37878
87	8072	37794
88	8168	37720
89	8262	37641
90	8356	37559
91	8440	37429
92	8537	37363
93	8626	37259
94	8717	37163
95	8795	37013
96	8886	36918
97	8983	36851
98	9069	36736
99	9160	36643
100	9222	36431
101	9309	36325
102	9397	36222
103	9498	36166
104	9606	36139
105	9701	36061
106	9786	35943
107	9875	35844
108	9968	35757
109	10059	35665
110	10156	35595
111	10258	35538
112	10362	35488
113	10453	35393
114	10542	35294
115	10629	35186
116	10724	35106
117	10812	35002
118	10918	34958
119	11009	34862
120	11099	34766
121	11201	34706
122	11294	34618
123	11398	34561
124	11482	34447
125	11580	34374
126	11665	34260
127	11752	34155
128	11838	34046
129	11940	33983
130	12033	33896
131	12134	33830
132	12227	33739
133	12335	33691
134	12423	33590
135	12520	33510
136	12613	33422
137	12711	33344
138	12799	33242
139	12896	33162
140	12986	33065
141	13115	33065
142	13214	32990
143	13321	32933
144	13423	32865
145	13547	32847
146	13713	32930
147	13845	32930
148	13949	32859
149	14051	32787
150	14169	32749
151	14277	32687
152	14380	32614
153	14484	32543
154	14580	32453
155	14688	32389
156	14773	32276
157	14875	32198
158	14966	32097
159	15078	32041
160	15169	31941
161	15275	31871
162	15376	31790
163	15478	31712
164	15567	31607
165	15663	31515
166	15765	31436
167	15860	31343
168	15952	31243
169	16042	31141
170	16143	31059
171	16236	30963
172	16327	30860
173	16418	30760
174	16529	30698
175	16624	30603
176	16718	30508
177	16810	30409
178	16900	30307
179	16993	30209
180	17077	30097
181	17190	30035
182	17314	29992
183	17408	29896
184	17506	29807
185	17601	29714
186	17687	29605
187	17780	29508
188	17870	29406
189	17958	29301
190	18052	29205
191	18147	29111
192	18235	29006
193	18332	28915
194	18425	28819
195	18526	28735
196	18616	28633
197	18715	28545
198	18807	28447
199	18894	28341
200	18988	28246
201	19077	28144
202	19167	28042
203	19276	27970
204	19368	27871
205	19464	27779
206	19567	27697
207	19651	27587
208	19749	27497
209	19837	27394
210	19933	27302
211	20020	27197
212	20113	27101
213	20202	26999
214	20305	26916
215	20395	26815
216	20493	26726
217	20585	26628
218	20674	26527
219	20768	26432
220	20861	26336
221	20951	26237
222	21042	26137
223	21137	26044
224	21229	25947
225	21327	25857
226	21429	25771
227	21526	25680
228	21622	25587
229	21715	25491
230	21806	25393
231	21897	25295
232	21991	25200
233	22080	25099
234	22170	25000
235	22270	24912
236	22370	24824
237	22473	24739
238	22691	24780
239	22810	24711
240	22947	24661
241	23088	24615
242	23185	24521
243	23329	24476
244	23430	24387
245	23528	24293
246	23615	24189
247	23712	24094
248	23807	23998
249	23907	23907
250	24010	23819
251	24110	23727
252	24204	23630
253	24311	23545
254	24399	23442
255	24499	23350
256	24590	23251
257	24687	23156
258	24774	23052
259	24862	22949
260	24948	22845
261	25047	22752
262	25143	22657
263	25240	22563
264	25343	22474
265	25441	22380
266	25529	22278
267	25626	22183
268	25718	22085
269	25805	21982
270	25909	21893
271	25997	21791
272	26088	21692
273	26183	21596
274	26274	21497
275	26378	21408
276	26469	21309
277	26560	21209
278	26660	21118
279	26747	21015
280	26851	20927
281	26956	20838
282	27047	20739
283	27138	20640
284	27230	20542
285	27332	20451
286	27436	20362
287	27532	20266
288	27622	20167
289	27716	20070
290	27818	19979
291	27912	19882
292	28018	19794
293	28116	19700
294	28224	19613
295	28315	19514
296	28428	19431
297	28520	19332
298	28614	19236
299	28708	19138
300	28815	19051
301	28905	18951
302	28997	18853
303	29088	18754
304	29179	18655
305	29273	18559
306	29370	18464
307	29469	18370
308	29564	18274
309	29656	18176
310	29749	18079
311	29839	17979
312	29933	17883
313	30022	17784
314	30115	17687
315	30205	17588
316	30315	17500
317	30413	17406
318	30517	17315
319	30607	17216
320	30702	17120
321	30788	17019
322	30879	16921
323	30970	16823
324	31062	16725
325	31155	16629
326	31252	16534
327	31343	16436
328	31452	16347
329	31559	16258
330	31655	16162
331	31747	16064
332	31841	15968
333	31931	15870
334	32024	15773
335	32118	15676
336	32209	15579
337	32317	15489
338	32402	15388
339	32520	15303
340	32629	15214
341	32721	15117
342	32816	15020
343	32905	14922
344	32999	14825
345	33091	14728
346	33188	14633
347	33284	14537
348	33378	14441
349	33478	14347
350	33581	14255
351	33674	14158
352	33771	14063
353	33867	13968
354	33960	13871
355	34057	13775
356	34155	13681
357	34266	13591
358	34354	13492
359	34462	13402
360	34558	13306
361	34658	13212
362	34750	13115
363	34864	13026
