iter	RMSE
0	77364.91441
1	74135.06917
2	70852.85225
3	67699.11107
4	64759.85527
5	62218.57144
6	60020.94052
7	57700.42197
8	55731.27893
9	53780.20843
10	51815.8495
11	50204.50302
12	48497.14247
13	46850.66502
14	45441.8816
15	43905.74519
16	42477.34536
17	41194.67169
18	39856.43871
19	38728.85298
20	37702.04878
21	36737.80587
22	35756.2867
23	34893.61186
24	33915.55217
25	33114.88332
26	32319.53909
27	31571.96002
28	30965.56442
29	30230.10675
30	29656.98496
31	28969.91957
32	28416.61915
33	27865.53658
34	27307.88871
35	26925.44216
36	26485.59556
37	26030.81296
38	25643.86819
39	25267.62527
40	24856.80794
41	24522.4548
42	24185.78483
43	23879.72732
44	23663.06522
45	23385.85945
46	23109.3513
47	22867.51816
48	22623.8526
49	22400.83622
50	22150.77732
51	21966.62602
52	21758.96832
53	21528.61012
54	21286.24787
55	21073.73493
56	20866.67893
57	20697.1426
58	20481.9168
59	20305.60237
60	20127.54354
61	19966.03718
62	19815.09766
63	19747.86927
64	19714.45252
65	19610.92842
66	19474.14536
67	19355.22866
68	19178.48567
69	19065.543
70	18964.48967
71	18879.3467
72	18775.3465
73	18655.51558
74	18506.93984
75	18468.62536
76	18339.27544
77	18209.28137
78	18103.1174
79	18026.0771
80	17904.54278
81	17730.3555
82	17606.38492
83	17504.43523
84	17388.96912
85	17271.29597
86	17200.47475
87	17134.28065
88	17102.5482
89	16997.29891
90	16912.66763
91	16821.63499
92	16724.6772
93	16640.29347
94	16560.34397
95	16482.28241
96	16400.97288
97	16331.98744
98	16269.53497
99	16184.08379
100	16137.5684
101	16074.9294
102	15966.47598
103	15862.85615
104	15795.1698
105	15735.56343
106	15626.83792
107	15572.59559
108	15479.72969
109	15431.35991
110	15378.84067
111	15273.92827
112	15218.5072
113	15163.52395
114	15109.3773
115	15002.69315
116	14921.80101
117	14870.93096
118	14809.18355
119	14741.61759
120	14697.53836
121	14673.20212
122	14581.28946
123	14515.16658
124	14466.46749
125	14425.71023
126	14386.6481
127	14352.25069
128	14295.08687
129	14238.58104
130	14199.41609
131	14141.88247
132	14085.34828
133	14028.91125
134	14006.24384
135	13993.32747
136	13966.27988
137	13958.55
138	13924.85755
139	13902.07137
140	13857.38652
141	13778.65482
142	13729.25767
143	13707.23803
144	13676.89857
145	13604.30345
146	13564.03052
147	13480.5187
148	13416.17911
149	13384.48995
150	13326.47142
151	13263.03676
152	13176.96965
153	13086.62835
154	13018.43492
155	12960.91243
156	12904.53616
157	12855.47102
158	12783.05878
159	12687.29003
160	12598.57124
161	12583.98247
162	12570.16311
163	12564.0977
164	12493.17355
165	12444.60078
166	12427.8218
167	12383.98066
168	12335.23222
169	12300.35088
170	12241.26256
171	12200.88724
172	12169.45635
173	12137.84673
174	12126.54198
175	12102.58329
176	12096.21102
177	12089.97053
178	12029.41693
179	12011.86244
180	11953.0307
181	11897.49307
182	11857.57066
183	11811.95043
184	11749.39651
185	11725.01942
186	11719.81367
187	11672.57319
188	11662.01974
189	11656.4874
190	11641.55782
191	11628.51239
192	11588.8042
193	11526.58071
194	11485.87627
195	11467.978
196	11438.61663
197	11421.43263
198	11375.379
199	11337.92969
200	11295.94366
201	11269.95817
202	11223.80897
203	11173.62433
204	11149.2105
205	11124.64323
206	11090.5506
207	11086.61355
208	11068.71811
209	11065.47957
210	11060.92871
211	11056.06921
212	11000.98904
213	10951.63527
214	10901.35672
215	10860.4336
216	10828.83713
217	10820.84215
218	10798.03426
219	10792.85767
220	10742.56389
221	10687.18884
222	10666.74267
223	10616.85735
224	10589.39755
225	10575.05752
226	10551.20352
227	10508.21582
228	10462.63149
229	10431.67663
230	10418.57602
231	10387.63977
232	10383.81893
233	10348.42743
234	10329.27257
235	10325.3179
236	10305.37869
237	10301.88391
238	10272.82341
239	10237.36596
240	10231.35452
241	10198.86743
242	10172.73282
243	10169.86859
244	10156.0952
245	10142.00596
246	10117.24399
247	10092.36177
248	10055.02147
249	10028.77738
250	10019.74076
251	10016.89724
252	10005.28016
253	9974.897175
254	9941.00055
255	9909.412096
256	9899.368761
257	9877.821214
258	9868.368055
259	9841.6596
260	9830.472582
261	9802.372347
262	9774.671508
263	9754.916687
264	9720.30794
265	9716.916235
266	9714.320046
267	9695.432994
268	9675.403783
269	9649.933977
270	9622.542122
271	9582.265358
272	9556.045354
273	9528.258344
274	9524.018828
275	9473.84407
276	9451.456852
277	9436.337894
278	9394.101162
279	9359.065332
280	9353.413312
281	9349.392362
282	9317.499084
283	9305.973421
284	9300.938231
285	9296.288177
286	9284.512158
287	9270.793917
288	9252.999215
289	9228.549294
290	9207.524348
291	9192.856049
292	9190.812226
293	9185.961801
294	9184.888468
295	9180.666388
296	9162.469303
297	9158.911041
298	9146.512752
299	9118.828778
300	9082.357721
301	9074.579197
302	9069.609131
303	9051.05209
304	9035.430049
305	9014.723243
306	9012.909178
307	8986.589552
308	8971.015441
309	8956.165838
310	8904.509284
311	8892.688388
312	8865.61047
313	8835.518437
314	8829.563935
315	8802.038546
316	8794.370035
317	8790.992743
318	8784.506366
319	8771.558618
320	8758.622224
321	8752.352084
322	8734.100027
323	8699.031499
324	8680.932601
325	8680.46058
326	8676.288525
327	8632.304446
328	8626.138189
329	8603.565294
330	8576.511329
331	8560.018498
332	8539.197317
333	8534.015528
334	8521.16956
335	8502.209839
336	8498.797885
337	8470.940944
338	8443.792503
339	8431.826037
340	8421.423729
341	8417.826759
342	8416.951609
343	8401.148476
344	8365.982294
345	8347.192693
346	8338.729357
347	8325.528505
348	8314.907712
349	8293.060665
350	8254.962858
351	8205.65269
352	8164.724
353	8129.50689
354	8111.195926
355	8071.371936
356	8068.402409
357	8051.072516
358	8036.238362
359	8013.992367
360	8011.511871
361	7989.909906
362	7966.10633
363	7935.443856
364	7909.208835
365	7892.4015
366	7889.353536
367	7872.856866
368	7822.184991
369	7805.811428
370	7801.491196
371	7776.786621
372	7745.183554
373	7738.29492
374	7720.350943
375	7706.179379
376	7692.750992
377	7687.378649
378	7671.065158
379	7663.908678
380	7659.508103
381	7658.646573
382	7619.911486
383	7606.837256
384	7595.555716
385	7581.516139
386	7571.187845
387	7559.164132
388	7548.44632
389	7538.470542
390	7524.633636
391	7508.52055
392	7497.368425
393	7480.367252
394	7458.774589
395	7432.944195
396	7415.804195
397	7404.537207
398	7373.774641
399	7362.351138
400	7344.282182
401	7331.646763
402	7319.160066
403	7305.207253
404	7273.930125
405	7247.068964
406	7217.13801
407	7202.087464
408	7188.607369
409	7175.902173
410	7165.316212
411	7148.638454
412	7136.285877
413	7110.789349
414	7088.5227
415	7064.924784
416	7056.623841
417	7027.039137
418	7009.192756
419	6990.879652
420	6979.431761
421	6965.131114
422	6954.952602
423	6942.594898
424	6922.734182
425	6921.409752
426	6900.351764
427	6873.905514
428	6861.796924
429	6839.765957
430	6807.597048
431	6800.427807
432	6793.894042
433	6779.101322
434	6753.048317
435	6743.194964
436	6722.266487
437	6706.469607
438	6683.263298
439	6671.222435
440	6654.50498
441	6648.731245
442	6633.452879
443	6609.798894
444	6597.121346
445	6592.819742
446	6573.000825
447	6541.841371
448	6520.524688
449	6497.497316
450	6486.734699
451	6476.526403
452	6465.262691
453	6451.974536
454	6424.959291
455	6407.075472
456	6400.102475
457	6385.706606
458	6367.039932
459	6335.337255
460	6321.12173
461	6319.288898
462	6306.864452
463	6293.443473
464	6281.32514
465	6279.715634
466	6256.989048
467	6254.022925
468	6236.235597
469	6222.99266
470	6206.121132
471	6193.768742
472	6179.402872
473	6166.435883
474	6135.979678
475	6132.656121
476	6122.154681
477	6114.068539
478	6093.605346
479	6090.348296
480	6078.731867
481	6060.968207
482	6031.588437
483	6022.00973
484	6010.617706
485	5970.564402
486	5962.94927
487	5943.088192
488	5941.605132
489	5937.127633
490	5933.703182
491	5928.194701
492	5923.176751
493	5900.50197
494	5892.838908
495	5886.901186
496	5882.349068
497	5861.93981
498	5843.654253
499	5831.237065
