iter	Passed	Remaining
0	71	35761
1	151	37604
2	241	40019
3	320	39764
4	405	40178
5	486	40079
6	564	39760
7	645	39719
8	686	37426
9	792	38843
10	1424	63321
11	1530	62235
12	1599	59924
13	1689	58644
14	1785	57731
15	1872	56630
16	1953	55489
17	2066	55326
18	2303	58312
19	2389	57353
20	2497	56976
21	2612	56765
22	2721	56445
23	2807	55683
24	2885	54833
25	2924	53320
26	3003	52625
27	3077	51878
28	3158	51306
29	3239	50749
30	3315	50158
31	3402	49760
32	3515	49747
33	3601	49355
34	3688	49010
35	3774	48652
36	3853	48220
37	3936	47860
38	4012	47434
39	4094	47084
40	4172	46707
41	4253	46381
42	4339	46118
43	4413	45741
44	4483	45337
45	4585	45260
46	4719	45487
47	4814	45339
48	4897	45074
49	4977	44793
50	5054	44495
51	5129	44190
52	5207	43918
53	5291	43705
54	5372	43469
55	5461	43301
56	5541	43068
57	5653	43085
58	5753	43008
59	5831	42767
60	5897	42445
61	5981	42254
62	6055	42001
63	6140	41831
64	6188	41412
65	6264	41190
66	6350	41042
67	6428	40842
68	6514	40691
69	6598	40531
70	6707	40527
71	6793	40384
72	6877	40230
73	6952	40021
74	7030	39841
75	7117	39709
76	7200	39555
77	7249	39220
78	7335	39089
79	7425	38986
80	7511	38856
81	7591	38697
82	7672	38548
83	7783	38545
84	7879	38469
85	7957	38308
86	8047	38200
87	8135	38088
88	8213	37930
89	8294	37784
90	8372	37630
91	8460	37522
92	8539	37373
93	8626	37259
94	8709	37130
95	8819	37116
96	8921	37067
97	9003	36933
98	9083	36791
99	9157	36631
100	9238	36497
101	9318	36361
102	9396	36216
103	9450	35983
104	9532	35859
105	9612	35729
106	9694	35607
107	9780	35500
108	9892	35487
109	9971	35352
110	10059	35254
111	10142	35137
112	10230	35038
113	10312	34918
114	10395	34803
115	10474	34673
116	10551	34541
117	10677	34564
118	10765	34466
119	10875	34437
120	10997	34447
121	11079	34329
122	11161	34211
123	11234	34064
124	11320	33961
125	11398	33833
126	11477	33708
127	11556	33586
128	11635	33463
129	11723	33365
130	11803	33249
131	11889	33145
132	12015	33155
133	12104	33061
134	12200	32986
135	12280	32867
136	12360	32751
137	12453	32667
138	12541	32572
139	12624	32462
140	12714	32371
141	12795	32258
142	12873	32139
143	12994	32125
144	13079	32022
145	13160	31909
146	13241	31797
147	13324	31690
148	13411	31594
149	13492	31482
150	13575	31377
151	13658	31270
152	13742	31167
153	13823	31058
154	13905	30951
155	13986	30842
156	14094	30791
157	14172	30676
158	14252	30566
159	14348	30490
160	14426	30376
161	14506	30267
162	14587	30159
163	14664	30044
164	14744	29936
165	14829	29837
166	14907	29725
167	14984	29612
168	15085	29545
169	15184	29475
170	15267	29374
171	15346	29265
172	15424	29155
173	15511	29061
174	15597	28966
175	15679	28865
176	15759	28758
177	15842	28658
178	15921	28552
179	16002	28448
180	16083	28345
181	16234	28364
182	16318	28267
183	16401	28167
184	16482	28064
185	16564	27964
186	16642	27856
187	16724	27755
188	16823	27683
189	16901	27575
190	16982	27474
191	17059	27366
192	17168	27309
193	17254	27215
194	17335	27115
195	17414	27009
196	17498	26913
197	17579	26812
198	17696	26767
199	17778	26668
200	17857	26564
201	17936	26460
202	18016	26359
203	18094	26254
204	18203	26195
205	18306	26126
206	18389	26029
207	18473	25934
208	18554	25833
209	18636	25736
210	18712	25630
211	18801	25541
212	18882	25442
213	18958	25337
214	19038	25236
215	19117	25136
216	19192	25030
217	19308	24976
218	19395	24886
219	19477	24789
220	19557	24690
221	19635	24588
222	19738	24518
223	19819	24420
224	19896	24317
225	19973	24215
226	20053	24117
227	20137	24023
228	20213	23920
229	20320	23853
230	20412	23770
231	20488	23667
232	20568	23569
233	20650	23474
234	20735	23382
235	20822	23293
236	20900	23193
237	20988	23104
238	21065	23004
239	21152	22915
240	21232	22818
241	21312	22721
242	21447	22682
243	21551	22611
244	21639	22522
245	21721	22427
246	21816	22346
247	21904	22258
248	21984	22160
249	22058	22058
250	22138	21961
251	22219	21866
252	22301	21772
253	22415	21709
254	22501	21619
255	22581	21523
256	22666	21432
257	22746	21335
258	22827	21240
259	22905	21143
260	22984	21046
261	23061	20949
262	23140	20853
263	23216	20754
264	23305	20667
265	23384	20571
266	23490	20498
267	23576	20409
268	23651	20310
269	23729	20214
270	23813	20122
271	23900	20034
272	23979	19939
273	24058	19843
274	24132	19745
275	24210	19648
276	24290	19554
277	24373	19463
278	24457	19372
279	24605	19333
280	24722	19267
281	24809	19178
282	24892	19087
283	24993	19009
284	25132	18959
285	25226	18875
286	25315	18787
287	25400	18697
288	25489	18610
289	25603	18540
290	25690	18451
291	25771	18357
292	25856	18267
293	25934	18171
294	26016	18079
295	26101	17988
296	26180	17894
297	26261	17801
298	26345	17710
299	26422	17614
300	26504	17522
301	26606	17443
302	26724	17375
303	26814	17288
304	26922	17212
305	27001	17118
306	27079	17024
307	27157	16929
308	27239	16837
309	27320	16745
310	27406	16655
311	27494	16566
312	27574	16473
313	27688	16401
314	27817	16337
315	27909	16251
316	27993	16160
317	28072	16066
318	28155	15975
319	28246	15888
320	28330	15797
321	28412	15706
322	28495	15614
323	28579	15524
324	28662	15433
325	28787	15365
326	28866	15271
327	28946	15179
328	29039	15093
329	29120	15001
330	29200	14908
331	29287	14819
332	29370	14729
333	29453	14638
334	29528	14544
335	29609	14452
336	29695	14362
337	29800	14282
338	29880	14190
339	29967	14102
340	30046	14010
341	30126	13918
342	30208	13827
343	30286	13734
344	30365	13642
345	30444	13550
346	30530	13461
347	30609	13369
348	30692	13279
349	30787	13194
350	30907	13120
351	30991	13030
352	31070	12938
353	31145	12845
354	31226	12754
355	31307	12663
356	31388	12572
357	31466	12481
358	31546	12389
359	31626	12299
360	31748	12224
361	31834	12135
362	32342	12206
363	32432	12117
364	32509	12023
365	32590	11931
366	32672	11840
367	32747	11746
368	32832	11655
369	32923	11567
370	33038	11487
371	33176	11415
372	33336	11350
373	33445	11267
374	33529	11176
375	33608	11083
376	33795	11026
377	33875	10933
378	33970	10845
379	34054	10753
380	34132	10660
381	34215	10569
382	34297	10477
383	34412	10395
384	34514	10309
385	34592	10216
386	34688	10128
387	34766	10035
388	34845	9943
389	34929	9851
390	35016	9761
391	35100	9670
392	35173	9576
393	35267	9488
394	35351	9397
395	35461	9313
396	35556	9224
397	35638	9133
398	35719	9041
399	35801	8950
400	35881	8858
401	35959	8766
402	36039	8674
403	36120	8583
404	36202	8492
405	36302	8405
406	36387	8314
407	36498	8230
408	36585	8140
409	36671	8049
410	36759	7960
411	36836	7867
412	36912	7775
413	36993	7684
414	37075	7593
415	37157	7502
416	37235	7411
417	37317	7320
418	37402	7230
419	37484	7139
420	37661	7067
421	37752	6977
422	37831	6886
423	37917	6796
424	37999	6705
425	38080	6614
426	38174	6526
427	38255	6435
428	38344	6346
429	38459	6260
430	38539	6169
431	38666	6086
432	38766	5998
433	38874	5911
434	38949	5820
435	39028	5729
436	39116	5639
437	39194	5548
438	39278	5457
439	39366	5368
440	39468	5280
441	39552	5190
442	39665	5103
443	39751	5013
444	39831	4922
445	39910	4832
446	39992	4741
447	40073	4651
448	40163	4562
449	40243	4471
450	40324	4381
451	40409	4291
452	40492	4201
453	40580	4111
454	40662	4021
455	40791	3936
456	40896	3848
457	40976	3757
458	41057	3667
459	41150	3578
460	41230	3488
461	41312	3398
462	41403	3308
463	41484	3218
464	41585	3130
465	41667	3040
466	41781	2952
467	41867	2862
468	41966	2773
469	42052	2684
470	42137	2594
471	42218	2504
472	42303	2414
473	42390	2325
474	42474	2235
475	42553	2145
476	42637	2055
477	42723	1966
478	42831	1877
479	42942	1789
480	43024	1699
481	43107	1609
482	43211	1520
483	43298	1431
484	43380	1341
485	43461	1251
486	43545	1162
487	43625	1072
488	43702	983
489	43786	893
490	43974	806
491	44058	716
492	44141	626
493	44232	537
494	44318	447
495	44398	358
496	44477	268
497	44565	178
498	44648	89
499	44733	0
