iter	RMSE
0	77661.83556
1	74398.49339
2	71563.6308
3	68599.74177
4	65935.22012
5	63553.12414
6	61050.09371
7	58773.18603
8	56511.27708
9	54743.58937
10	52950.79334
11	51345.62056
12	49952.20543
13	48548.8239
14	46912.63578
15	45449.24519
16	44052.99195
17	43008.74371
18	42013.87978
19	40949.02351
20	40193.62871
21	39367.29021
22	38458.07517
23	37577.16501
24	36626.90346
25	35871.47852
26	35140.16055
27	34955.89541
28	34360.20663
29	33743.28375
30	33174.22391
31	32745.01953
32	32282.89912
33	31608.68299
34	31052.12163
35	30616.07867
36	30255.32779
37	29807.46919
38	29404.66973
39	29040.18028
40	28589.21376
41	28144.18676
42	27820.52189
43	27446.73335
44	27136.00082
45	26776.16395
46	26425.46302
47	26083.10947
48	25944.67119
49	25627.08362
50	25367.71071
51	25290.05805
52	25049.79634
53	24870.7823
54	24494.78232
55	24316.62272
56	24124.54016
57	23873.81263
58	23581.96186
59	23401.81043
60	23185.45951
61	22964.2355
62	22827.96714
63	22674.72369
64	22468.26633
65	22326.26629
66	22156.96901
67	22029.71093
68	21923.47975
69	21779.19508
70	21600.5845
71	21496.23883
72	21435.89939
73	21284.35391
74	21118.24328
75	20875.03811
76	20686.2292
77	20574.61301
78	20494.87881
79	20361.87702
80	20278.75002
81	20181.74467
82	20153.73519
83	20084.50153
84	19959.73172
85	19869.13056
86	19756.77673
87	19739.4283
88	19600.68188
89	19465.21946
90	19377.24825
91	19312.57506
92	19226.7987
93	19052.30348
94	18966.66285
95	18804.08903
96	18707.05715
97	18651.16875
98	18602.63696
99	18561.9007
100	18383.00423
101	18245.83572
102	18185.85397
103	18039.66253
104	17913.59145
105	17891.66066
106	17815.23769
107	17756.79036
108	17650.16902
109	17557.26756
110	17512.37178
111	17413.27926
112	17310.64155
113	17143.14663
114	17061.72076
115	16981.79738
116	16887.68848
117	16798.22232
118	16664.73607
119	16653.56917
120	16568.77395
121	16416.96223
122	16328.20102
123	16246.8503
124	16229.47116
125	16168.52421
126	16062.59621
127	15998.0896
128	15983.41759
129	15899.28124
130	15798.72101
131	15721.40122
132	15690.26235
133	15659.77738
134	15563.92579
135	15486.10022
136	15436.6473
137	15373.60217
138	15265.70897
139	15187.13188
140	15132.13282
141	15075.74029
142	14987.59111
143	14955.0885
144	14904.64908
145	14799.71631
146	14761.86541
147	14744.60888
148	14733.40266
149	14684.3776
150	14651.83423
151	14643.33562
152	14554.14878
153	14516.83215
154	14506.93167
155	14501.32237
156	14432.72122
157	14419.92153
158	14364.21806
159	14309.28134
160	14244.8357
161	14170.04221
162	14123.13149
163	14057.6659
164	13981.12826
165	13883.91474
166	13820.05266
167	13813.06107
168	13758.03629
169	13687.03681
170	13640.81779
171	13600.3536
172	13571.97958
173	13492.86936
174	13459.26192
175	13417.54833
176	13356.41185
177	13350.20693
178	13321.85673
179	13296.41003
180	13260.28872
181	13220.90267
182	13178.38997
183	13168.19965
184	13133.5992
185	13105.46115
186	13093.91756
187	13075.21326
188	13058.61074
189	13027.23055
190	12999.78408
191	12945.93293
192	12887.50469
193	12865.25763
194	12841.47643
195	12814.99959
196	12756.51463
197	12716.43897
198	12641.45066
199	12595.85862
200	12539.81385
201	12513.65619
202	12467.05119
203	12427.76829
204	12416.67967
205	12376.19222
206	12351.97144
207	12325.72888
208	12286.96831
209	12249.39252
210	12187.37416
211	12175.95817
212	12117.40762
213	12063.42766
214	11982.45216
215	11921.43269
216	11905.58307
217	11874.59818
218	11832.68982
219	11818.61191
220	11791.80316
221	11750.37776
222	11719.76714
223	11697.54145
224	11678.41284
225	11672.24661
226	11652.80579
227	11641.16913
228	11630.69044
229	11597.47022
230	11563.24592
231	11520.70561
232	11480.68099
233	11469.22237
234	11444.01479
235	11420.50605
236	11361.74263
237	11334.00433
238	11306.38099
239	11235.87541
240	11226.44636
241	11194.33027
242	11177.78784
243	11136.37559
244	11122.10485
245	11093.63917
246	11079.23975
247	11067.14841
248	11022.61672
249	10992.84317
250	10983.46184
251	10974.75928
252	10947.74221
253	10926.01657
254	10878.32088
255	10859.76252
256	10805.5377
257	10766.03395
258	10731.79237
259	10675.37497
260	10649.62652
261	10606.47003
262	10585.47603
263	10543.42046
264	10513.51564
265	10479.17266
266	10446.10622
267	10430.57478
268	10411.39529
269	10380.16658
270	10357.69761
271	10320.55692
272	10307.38076
273	10278.07847
274	10252.91438
275	10217.1124
276	10170.83382
277	10136.38168
278	10107.71012
279	10070.50957
280	10064.72339
281	10039.5714
282	10000.30296
283	9971.769489
284	9929.603146
285	9920.311884
286	9907.283848
287	9883.829917
288	9841.329878
289	9803.103562
290	9773.877552
291	9736.523682
292	9713.960867
293	9704.905976
294	9694.813846
295	9661.334763
296	9657.19522
297	9617.293784
298	9603.249887
299	9587.713565
300	9566.56306
301	9523.10624
302	9492.261371
303	9482.002064
304	9458.131116
305	9430.127846
306	9421.458638
307	9407.653514
308	9403.819114
309	9401.485723
310	9381.523688
311	9338.866591
312	9300.707531
313	9259.559736
314	9258.535298
315	9220.484275
316	9191.336041
317	9182.478054
318	9175.658747
319	9164.35725
320	9134.978775
321	9096.651545
322	9063.799946
323	9030.977873
324	8997.787123
325	8980.770888
326	8964.979364
327	8950.041549
328	8904.105461
329	8886.360534
330	8863.875237
331	8835.040209
332	8823.168413
333	8803.268832
334	8779.35776
335	8762.995334
336	8755.286799
337	8731.2037
338	8718.047267
339	8711.342696
340	8707.659928
341	8679.274974
342	8655.213523
343	8652.379765
344	8617.145745
345	8606.445099
346	8583.475042
347	8566.633657
348	8557.004313
349	8537.079322
350	8531.130729
351	8510.739808
352	8475.687714
353	8445.145393
354	8418.157569
355	8393.265909
356	8376.91806
357	8350.605013
358	8343.494298
359	8330.413647
360	8305.332513
361	8291.554969
362	8275.457973
363	8250.167263
364	8235.315244
365	8227.517363
366	8214.577003
367	8201.877228
368	8198.426843
369	8183.375914
370	8180.445138
371	8150.421253
372	8132.897833
373	8128.154348
374	8107.469973
375	8102.975878
376	8095.548239
377	8083.763904
378	8070.880116
379	8069.396652
380	8047.100758
381	8030.051059
382	8023.5456
383	8011.638537
